"Account","Flag","Date","Payee","Category Group/Category","Category Group","Category","Memo","Outflow","Inflow","Cleared"
"WealthSimple Cash","","18/06/2024","Pocket option","Dépense Irrégulière: 💰 Placement","Dépense Irrégulière","💰 Placement","",144.44$,0.00$,"Reconciled"
"WealthSimple Cash","","18/06/2024","Bell","Dépense Obligatoire: 📱 Cellulaire","Dépense Obligatoire","📱 Cellulaire","",104.35$,0.00$,"Reconciled"
"WealthSimple Cash","","18/06/2024","FXHYPEZTRAD 4029357733 ON","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",14.34$,0.00$,"Reconciled"
"WealthSimple Cash","","18/06/2024","FXHYPEZTRAD 4029357733 ON","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",7.17$,0.00$,"Reconciled"
"WealthSimple Cash","","18/06/2024","Reconciliation Balance Adjustment","Inflow: Ready to Assign","Inflow","Ready to Assign","Entered automatically by YNAB",0.00$,20.63$,"Reconciled"
"Principal","","17/06/2024","Withdrawal on ATM /CPD PORT-CARTIER","Dépense Non Obligatoire: 💵 ATM Cash","Dépense Non Obligatoire","💵 ATM Cash","",80.00$,0.00$,"Reconciled"
"WealthSimple Cash","","17/06/2024","Transfer : Principal","","","","",80.00$,0.00$,"Reconciled"
"WealthSimple Cash","","17/06/2024","Irving Port-Cartier","Dépense Non Obligatoire: 🥃 Redbull","Dépense Non Obligatoire","🥃 Redbull","",22.23$,0.00$,"Reconciled"
"Principal","","17/06/2024","Transfer : WealthSimple Cash","","","","",0.00$,80.00$,"Reconciled"
"WealthSimple Cash","","17/06/2024","Chomage","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,476.00$,"Reconciled"
"Principal","","16/06/2024","Drizzle","Dépense Non Obligatoire: 💨 Drizzle","Dépense Non Obligatoire","💨 Drizzle","",109.50$,0.00$,"Reconciled"
"WealthSimple Cash","","16/06/2024","Transfer : Principal","","","","",109.50$,0.00$,"Reconciled"
"Principal","","16/06/2024","Transfer : WealthSimple Cash","","","","",0.00$,109.50$,"Reconciled"
"WealthSimple Cash","","15/06/2024","Purchase /TABAGIE DES ILE","Dépense Non Obligatoire: 🚬 Cigarette","Dépense Non Obligatoire","🚬 Cigarette","",146.54$,0.00$,"Reconciled"
"WealthSimple Cash","","15/06/2024","AFFIRM CANADA VANCOUVER BC","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",139.41$,0.00$,"Reconciled"
"WealthSimple Cash","","15/06/2024","IGA Port-Cartier","Dépense Obligatoire: 🍲 Epicerie","Dépense Obligatoire","🍲 Epicerie","",138.41$,0.00$,"Reconciled"
"WealthSimple Cash","","15/06/2024","Money transfer sent to /Katherine /","Dépense Irrégulière:  ❤️ Katherine","Dépense Irrégulière"," ❤️ Katherine","",32.65$,0.00$,"Reconciled"
"WealthSimple Cash","","15/06/2024","ADOBE INC 4029357733","Abonnement: Adobe","Abonnement","Adobe","",14.94$,0.00$,"Reconciled"
"WealthSimple Cash","","14/06/2024","Transfer : Fairstone","Hidden Categories: 📂 Fairstone / Fridge","Hidden Categories","📂 Fairstone / Fridge","",169.09$,0.00$,"Reconciled"
"WealthSimple Cash","","14/06/2024","Depanneur BT","Dépense Non Obligatoire: 🥃 Redbull","Dépense Non Obligatoire","🥃 Redbull","Split (1/2) ",23.00$,0.00$,"Reconciled"
"WealthSimple Cash","","14/06/2024","Depanneur BT","Dépense Non Obligatoire: 🚬 Cigarette","Dépense Non Obligatoire","🚬 Cigarette","Split (2/2) ",40.27$,0.00$,"Reconciled"
"Principal","","14/06/2024","Insurance /Intact Assur.","Dépense Obligatoire: 🚗 Assurance Auto","Dépense Obligatoire","🚗 Assurance Auto","",58.56$,0.00$,"Reconciled"
"WealthSimple Cash","","14/06/2024","Transfer : Classique Visa Desjardins","","","","",24.68$,0.00$,"Reconciled"
"Classique Visa Desjardins","","14/06/2024","Transfer : WealthSimple Cash","","","","",0.00$,24.68$,"Reconciled"
"WealthSimple Cash","","14/06/2024","Reçu de Katherine","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,157.41$,"Reconciled"
"Fairstone","","14/06/2024","Transfer : WealthSimple Cash","","","","",0.00$,169.09$,"Uncleared"
"WealthSimple Cash","","12/06/2024","Transfer : 🚨 Fonds d'urgence","","","","",100.00$,0.00$,"Reconciled"
"WealthSimple Cash","","12/06/2024","Transfer : Classique Visa Desjardins","","","","",62.27$,0.00$,"Reconciled"
"Classique Visa Desjardins","","12/06/2024","Transfer : WealthSimple Cash","","","","",0.00$,62.27$,"Reconciled"
"🚨 Fonds d'urgence","","12/06/2024","Transfer : WealthSimple Cash","","","","",0.00$,100.00$,"Reconciled"
"WealthSimple Cash","","12/06/2024","Paye Arbec","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,737.45$,"Reconciled"
"Classique Visa Desjardins","","11/06/2024","TRADINGVIEW PR 4029357733","Dépense Irrégulière: 📤 Dépense Non Catégorisé","Dépense Irrégulière","📤 Dépense Non Catégorisé","",24.68$,0.00$,"Reconciled"
"WealthSimple Cash","","11/06/2024","Reconciliation Balance Adjustment","Inflow: Ready to Assign","Inflow","Ready to Assign","Entered automatically by YNAB",0.00$,145.60$,"Reconciled"
"WealthSimple Cash","","10/06/2024","Reconciliation Balance Adjustment","Inflow: Ready to Assign","Inflow","Ready to Assign","Entered automatically by YNAB",913.75$,0.00$,"Reconciled"
"Classique Visa Desjardins","","10/06/2024","FXHYPEZTRAD 4029357733 ON","Dépense Irrégulière: 📤 Dépense Non Catégorisé","Dépense Irrégulière","📤 Dépense Non Catégorisé","",14.34$,0.00$,"Reconciled"
"Classique Visa Desjardins","","10/06/2024","FXHYPEZTRAD 4029357733 ON","Dépense Irrégulière: 📤 Dépense Non Catégorisé","Dépense Irrégulière","📤 Dépense Non Catégorisé","",7.17$,0.00$,"Reconciled"
"Classique Visa Desjardins","","07/06/2024","FXHYPEZTRAD 4029357733 ON","Dépense Irrégulière: 📤 Dépense Non Catégorisé","Dépense Irrégulière","📤 Dépense Non Catégorisé","",14.31$,0.00$,"Reconciled"
"Principal","","07/06/2024","Member Dividend","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,45.10$,"Reconciled"
"Classique Visa Desjardins","","04/06/2024","PLAN004-ACCORD D CAISSE 815-92154MONTREAL","Inflow: Ready to Assign","Inflow","Ready to Assign","",1000.00$,0.00$,"Reconciled"
"Principal","","04/06/2024","Transfer : WealthSimple Cash","","","","",1000.00$,0.00$,"Reconciled"
"Principal","","04/06/2024","Deposit - accord D Financing","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,1000.00$,"Reconciled"
"WealthSimple Cash","","04/06/2024","Transfer : Principal","","","","",0.00$,1000.00$,"Reconciled"
"WealthSimple Cash","","03/06/2024","Reconciliation Balance Adjustment","Inflow: Ready to Assign","Inflow","Ready to Assign","Entered automatically by YNAB",424.47$,0.00$,"Reconciled"
"Classique Visa Desjardins","","03/06/2024","GSUITE TOUTIE.M CC GOOGLE.COMCA","Dépense Irrégulière: 📤 Dépense Non Catégorisé","Dépense Irrégulière","📤 Dépense Non Catégorisé","",10.35$,0.00$,"Reconciled"
"🚨 Fonds d'urgence","","03/06/2024","Reconciliation Balance Adjustment","Inflow: Ready to Assign","Inflow","Ready to Assign","Entered automatically by YNAB",0.08$,0.00$,"Reconciled"
"WealthSimple Cash","","02/06/2024","Depanneur BT","Dépense Non Obligatoire: 🥃 Redbull","Dépense Non Obligatoire","🥃 Redbull","Split (1/2) ",22.00$,0.00$,"Reconciled"
"WealthSimple Cash","","02/06/2024","Depanneur BT","Dépense Non Obligatoire: 🏪 Dépanneur","Dépense Non Obligatoire","🏪 Dépanneur","Split (2/2) ",30.00$,0.00$,"Reconciled"
"WealthSimple Cash","","02/06/2024","Reçu de Katherine","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,20.00$,"Reconciled"
"WealthSimple Cash","","01/06/2024","Amazon","Dépense Non Obligatoire: 🛒 Amazon","Dépense Non Obligatoire","🛒 Amazon","",57.46$,0.00$,"Reconciled"
"WealthSimple Cash","","01/06/2024","Reconciliation Balance Adjustment","Inflow: Ready to Assign","Inflow","Ready to Assign","Entered automatically by YNAB",0.50$,0.00$,"Reconciled"
"WealthSimple Cash","","01/06/2024","WealthSimple interet","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,2.03$,"Reconciled"
"WealthSimple Cash","","31/05/2024","Paiement Loyer Papa","Dépense Obligatoire: 🏠 Loyer","Dépense Obligatoire","🏠 Loyer","",600.00$,0.00$,"Reconciled"
"WealthSimple Cash","","31/05/2024","Payment /BENEVA","Dépense Obligatoire: 🏚️ Assurance Maison","Dépense Obligatoire","🏚️ Assurance Maison","",220.99$,0.00$,"Reconciled"
"WealthSimple Cash","","31/05/2024","IGA Port-Cartier","Dépense Obligatoire: 🍲 Epicerie","Dépense Obligatoire","🍲 Epicerie","",152.94$,0.00$,"Reconciled"
"WealthSimple Cash","","31/05/2024","Maxi Port-Cartier","Dépense Obligatoire: 🍲 Epicerie","Dépense Obligatoire","🍲 Epicerie","",45.61$,0.00$,"Reconciled"
"WealthSimple Cash","","31/05/2024","Purchase /DOLLARAMA # 142","Dépense Non Obligatoire: 🥃 Redbull","Dépense Non Obligatoire","🥃 Redbull","",18.80$,0.00$,"Reconciled"
"Principal","","31/05/2024","Fixed service charges","Dépense Obligatoire: 🏦 Frais Desjardins","Dépense Obligatoire","🏦 Frais Desjardins","",15.95$,0.00$,"Reconciled"
"WealthSimple Cash","","31/05/2024","Tim Horton","Dépense Non Obligatoire: 👩‍🍳 Restaurant","Dépense Non Obligatoire","👩‍🍳 Restaurant","",7.22$,0.00$,"Reconciled"
"Principal","","31/05/2024","Transfer : WealthSimple Cash","","","","",1.00$,0.00$,"Reconciled"
"WealthSimple Cash","","31/05/2024","Transfer : Principal","","","","",0.00$,1.00$,"Reconciled"
"WealthSimple Cash","","31/05/2024","Reçu de Katherine","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,28.00$,"Reconciled"
"Classique Visa Desjardins","","29/05/2024","PLAN003-ACCORD D CAISSE 815-92154MONTREAL","Hidden Categories: Accord D","Hidden Categories","Accord D","",1500.00$,0.00$,"Reconciled"
"Principal","","29/05/2024","Transfer : WealthSimple Cash","","","","",1450.00$,0.00$,"Reconciled"
"WealthSimple Cash","","29/05/2024","Bell","Dépense Obligatoire: 📱 Cellulaire","Dépense Obligatoire","📱 Cellulaire","",742.35$,0.00$,"Reconciled"
"WealthSimple Cash","","29/05/2024","Depanneur BT","Dépense Non Obligatoire: 🥃 Redbull","Dépense Non Obligatoire","🥃 Redbull","Split (1/3) ",42.17$,0.00$,"Reconciled"
"WealthSimple Cash","","29/05/2024","Depanneur BT","Dépense Non Obligatoire: ⛽ Gaz","Dépense Non Obligatoire","⛽ Gaz","Split (2/3) ",60.00$,0.00$,"Reconciled"
"WealthSimple Cash","","29/05/2024","Depanneur BT","Dépense Non Obligatoire: 🚬 Cigarette","Dépense Non Obligatoire","🚬 Cigarette","Split (3/3) ",40.00$,0.00$,"Reconciled"
"WealthSimple Cash","","29/05/2024","Transfer : Classique Visa Desjardins","","","","",138.83$,0.00$,"Reconciled"
"Principal","","29/05/2024","Payment /DELL FINANCIAL","Dépense Obligatoire: 🖥️ Dell","Dépense Obligatoire","🖥️ Dell","",15.49$,0.00$,"Reconciled"
"Classique Visa Desjardins","","29/05/2024","Transfer : WealthSimple Cash","","","","",0.00$,138.83$,"Reconciled"
"WealthSimple Cash","","29/05/2024","Reçu de Katherine","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,400.00$,"Reconciled"
"WealthSimple Cash","","29/05/2024","Paye Arbec","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,769.02$,"Reconciled"
"WealthSimple Cash","","29/05/2024","Transfer : Principal","","","","",0.00$,1450.00$,"Reconciled"
"Principal","","29/05/2024","Deposit - accord D Financing","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,1500.00$,"Reconciled"
"Classique Visa Desjardins","","28/05/2024","HOTMART BLWBinaryMasterA Amsterdam NL","Dépense Irrégulière: 📤 Dépense Non Catégorisé","Dépense Irrégulière","📤 Dépense Non Catégorisé","",16.10$,0.00$,"Reconciled"
"WealthSimple Cash","","28/05/2024","Github","Dépense Irrégulière: 📤 Dépense Non Catégorisé","Dépense Irrégulière","📤 Dépense Non Catégorisé","",14.31$,0.00$,"Reconciled"
"WealthSimple Cash","","27/05/2024","Depanneur BT","Dépense Non Obligatoire: 🥃 Redbull","Dépense Non Obligatoire","🥃 Redbull","Split (1/3) ",25.00$,0.00$,"Reconciled"
"WealthSimple Cash","","27/05/2024","Depanneur BT","Dépense Non Obligatoire: ⛽ Gaz","Dépense Non Obligatoire","⛽ Gaz","Split (2/3) ",20.00$,0.00$,"Reconciled"
"WealthSimple Cash","","27/05/2024","Depanneur BT","Dépense Non Obligatoire: 🚬 Cigarette","Dépense Non Obligatoire","🚬 Cigarette","Split (3/3) ",38.27$,0.00$,"Reconciled"
"Classique Visa Desjardins","","27/05/2024","FRAIS DE CRÉDIT","Dépense Irrégulière: 🤌 Frais et Interet","Dépense Irrégulière","🤌 Frais et Interet","",83.10$,0.00$,"Reconciled"
"Classique Visa Desjardins","","27/05/2024","ASSURANCE SOLDE DSF PARTICULIER","Dépense Irrégulière: 🤌 Frais et Interet","Dépense Irrégulière","🤌 Frais et Interet","",51.13$,0.00$,"Reconciled"
"Classique Visa Desjardins","","27/05/2024","TAXES QC ASS-SOLDE DSF PARTICULIER","Dépense Irrégulière: 🤌 Frais et Interet","Dépense Irrégulière","🤌 Frais et Interet","",4.60$,0.00$,"Reconciled"
"Principal","","27/05/2024","Interac e-Transfer from /Pierre-Luc Dug/","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,30.00$,"Reconciled"
"WealthSimple Cash","","26/05/2024","Google Ai","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",31.03$,0.00$,"Reconciled"
"WealthSimple Cash","","26/05/2024","Transfer : WealthSimple Crypto","Dépense Irrégulière: 💰 Placement","Dépense Irrégulière","💰 Placement","",18.57$,0.00$,"Reconciled"
"WealthSimple Crypto","","26/05/2024","Transfer : WealthSimple Cash","","","","",0.00$,18.57$,"Reconciled"
"WealthSimple Cash","","25/05/2024","Crypto","Dépense Irrégulière: 💰 Placement","Dépense Irrégulière","💰 Placement","",181.58$,0.00$,"Reconciled"
"WealthSimple Cash","","25/05/2024","Maxi Port-Cartier","Dépense Obligatoire: 🍲 Epicerie","Dépense Obligatoire","🍲 Epicerie","",78.98$,0.00$,"Reconciled"
"WealthSimple Cash","","25/05/2024","Depanneur BT","Dépense Non Obligatoire: 🥃 Redbull","Dépense Non Obligatoire","🥃 Redbull","",25.65$,0.00$,"Reconciled"
"WealthSimple Cash","","25/05/2024","YNAB","Abonnement: YNAB","Abonnement","YNAB","",20.65$,0.00$,"Reconciled"
"WealthSimple Cash","","25/05/2024","Snowball Portfolio","Dépense Irrégulière: 📤 Dépense Non Catégorisé","Dépense Irrégulière","📤 Dépense Non Catégorisé","",20.65$,0.00$,"Reconciled"
"Principal","","24/05/2024","Payment /DESJARDINS FIN. SECUR.","Dépense Obligatoire: 🏦 Frais Assurance Desjardins","Dépense Obligatoire","🏦 Frais Assurance Desjardins","",15.75$,0.00$,"Reconciled"
"WealthSimple Cash","","23/05/2024","Irving Port-Cartier","Dépense Non Obligatoire: 🚬 Cigarette","Dépense Non Obligatoire","🚬 Cigarette","Split (1/2) ",35.45$,0.00$,"Reconciled"
"WealthSimple Cash","","23/05/2024","Irving Port-Cartier","Dépense Non Obligatoire: 🥃 Redbull","Dépense Non Obligatoire","🥃 Redbull","Split (2/2) ",18.50$,0.00$,"Reconciled"
"WealthSimple Cash","","23/05/2024","Transfer : Principal","","","","",40.00$,0.00$,"Reconciled"
"Principal","","23/05/2024","Direct withdrawal /Wealthsimple Investments Inc.","Dépense Irrégulière: 💰 Placement","Dépense Irrégulière","💰 Placement","",10.00$,0.00$,"Reconciled"
"WealthSimple Cash","","23/05/2024","Google Play Store","Dépense Irrégulière: 📤 Dépense Non Catégorisé","Dépense Irrégulière","📤 Dépense Non Catégorisé","",8.61$,0.00$,"Reconciled"
"🚨 Fonds d'urgence","","23/05/2024","Starting Balance","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,0.08$,"Reconciled"
"Principal","","23/05/2024","Transfer : WealthSimple Cash","","","","",0.00$,40.00$,"Reconciled"
"WealthSimple Cash","","22/05/2024","Paye Arbec","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,763.65$,"Reconciled"
"Principal","","20/05/2024","Payment /DESJARDINS FIN. SECUR.","Dépense Obligatoire: 🏦 Frais Assurance Desjardins","Dépense Obligatoire","🏦 Frais Assurance Desjardins","",9.95$,0.00$,"Reconciled"
"WealthSimple Cash","","19/05/2024","Paddle.Net","Dépense Irrégulière: 📤 Dépense Non Catégorisé","Dépense Irrégulière","📤 Dépense Non Catégorisé","",4.00$,0.00$,"Reconciled"
"WealthSimple Cash","","18/05/2024","Depanneur BT","Dépense Non Obligatoire: ⛽ Gaz","Dépense Non Obligatoire","⛽ Gaz","",105.65$,0.00$,"Reconciled"
"WealthSimple Cash","","18/05/2024","Pocket option","Dépense Irrégulière: 💰 Placement","Dépense Irrégulière","💰 Placement","",70.06$,0.00$,"Reconciled"
"WealthSimple Cash","","18/05/2024","Money transfer sent to /Katherine /Je t'aime","Dépense Irrégulière:  ❤️ Katherine","Dépense Irrégulière"," ❤️ Katherine","",34.00$,0.00$,"Reconciled"
"WealthSimple Cash","","18/05/2024","OnAir","Dépense Irrégulière: 📤 Dépense Non Catégorisé","Dépense Irrégulière","📤 Dépense Non Catégorisé","",15.28$,0.00$,"Reconciled"
"WealthSimple Cash","","18/05/2024","Reçu de Katherine","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,10.00$,"Reconciled"
"WealthSimple Cash","","16/05/2024","Transfer : Classique Visa Desjardins","","","","",171.07$,0.00$,"Reconciled"
"WealthSimple Cash","","16/05/2024","Maxi Port-Cartier","Dépense Obligatoire: 🍲 Epicerie","Dépense Obligatoire","🍲 Epicerie","",160.94$,0.00$,"Reconciled"
"WealthSimple Cash","","16/05/2024","SAAQ Enregistrement","Dépense Obligatoire: 🪪 SAAQ","Dépense Obligatoire","🪪 SAAQ","",158.32$,0.00$,"Reconciled"
"WealthSimple Cash","","16/05/2024","Irving Port-Cartier","Dépense Non Obligatoire: 🚬 Cigarette","Dépense Non Obligatoire","🚬 Cigarette","Split (1/2) ",40.00$,0.00$,"Reconciled"
"WealthSimple Cash","","16/05/2024","Irving Port-Cartier","Dépense Non Obligatoire: 🏪 Dépanneur","Dépense Non Obligatoire","🏪 Dépanneur","Split (2/2) ",7.29$,0.00$,"Reconciled"
"WealthSimple Cash","","16/05/2024","ADOBE INC 4029357733","Abonnement: Adobe","Abonnement","Adobe","",14.94$,0.00$,"Reconciled"
"WealthSimple Cash","","16/05/2024","Reconciliation Balance Adjustment","Inflow: Ready to Assign","Inflow","Ready to Assign","Entered automatically by YNAB",0.00$,3.93$,"Reconciled"
"Classique Visa Desjardins","","16/05/2024","Transfer : WealthSimple Cash","","","","",0.00$,171.07$,"Reconciled"
"WealthSimple Cash","","15/05/2024","Transfer : Fairstone","Hidden Categories: 📂 Fairstone / Fridge","Hidden Categories","📂 Fairstone / Fridge","",169.09$,0.00$,"Reconciled"
"WealthSimple Cash","","15/05/2024","AFFIRM CANADA VANCOUVER BC","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",139.41$,0.00$,"Reconciled"
"WealthSimple Cash","","15/05/2024","Udemy","Dépense Irrégulière: 📤 Dépense Non Catégorisé","Dépense Irrégulière","📤 Dépense Non Catégorisé","",29.88$,0.00$,"Reconciled"
"Fairstone","","15/05/2024","Transfer : WealthSimple Cash","","","","",0.00$,169.09$,"Uncleared"
"Principal","","14/05/2024","Insurance /Intact Assur.","Dépense Obligatoire: 🚗 Assurance Auto","Dépense Obligatoire","🚗 Assurance Auto","",58.56$,0.00$,"Reconciled"
"WealthSimple Cash","","14/05/2024","Paye Arbec","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,765.25$,"Reconciled"
"Classique Visa Desjardins","","13/05/2024","AUTOBOTTRAD NA 4029357733 ON","Dépense Irrégulière: 📤 Dépense Non Catégorisé","Dépense Irrégulière","📤 Dépense Non Catégorisé","",141.19$,0.00$,"Reconciled"
"WealthSimple Cash","","13/05/2024","Irving Port-Cartier","Dépense Non Obligatoire: 🚬 Cigarette","Dépense Non Obligatoire","🚬 Cigarette","",35.15$,0.00$,"Reconciled"
"WealthSimple Cash","","12/05/2024","Depanneur Pointe","Dépense Non Obligatoire: 🚬 Cigarette","Dépense Non Obligatoire","🚬 Cigarette","",17.50$,0.00$,"Reconciled"
"Principal","","11/05/2024","Transfer : Classique Visa Desjardins","","","","",40.00$,0.00$,"Reconciled"
"WealthSimple Cash","","11/05/2024","Transfer : Principal","","","","",40.00$,0.00$,"Reconciled"
"WealthSimple Cash","","11/05/2024","Kinguin","Dépense Irrégulière: 📤 Dépense Non Catégorisé","Dépense Irrégulière","📤 Dépense Non Catégorisé","",27.97$,0.00$,"Reconciled"
"Classique Visa Desjardins","","11/05/2024","Transfer : Principal","","","","",0.00$,40.00$,"Reconciled"
"Principal","","11/05/2024","Transfer : WealthSimple Cash","","","","",0.00$,40.00$,"Reconciled"
"WealthSimple Crypto","","10/05/2024","Manual Balance Adjustment","","","","",500.54$,0.00$,"Reconciled"
"WealthSimple CELI","","10/05/2024","Manual Balance Adjustment","","","","",122.62$,0.00$,"Reconciled"
"WealthSimple Cash","","10/05/2024","Money transfer sent to /Katherine /","Dépense Irrégulière:  ❤️ Katherine","Dépense Irrégulière"," ❤️ Katherine","",20.00$,0.00$,"Reconciled"
"WealthSimple Cash","","10/05/2024","YouTubePremium g.co/helppaNSCA","Abonnement: Youtube Premium","Abonnement","Youtube Premium","",14.94$,0.00$,"Reconciled"
"WealthSimple Cash","","10/05/2024","Depanneur Pentecote","Dépense Non Obligatoire: 🏪 Dépanneur","Dépense Non Obligatoire","🏪 Dépanneur","",10.18$,0.00$,"Reconciled"
"WealthSimple Cash","","09/05/2024","Transfer : WealthSimple Crypto","Dépense Irrégulière: 💰 Placement","Dépense Irrégulière","💰 Placement","",114.38$,0.00$,"Reconciled"
"WealthSimple Cash","","09/05/2024","Irving Port-Cartier","Dépense Non Obligatoire: ⛽ Gaz","Dépense Non Obligatoire","⛽ Gaz","",100.85$,0.00$,"Reconciled"
"WealthSimple Cash","","09/05/2024","Money transfer sent to /Papa /","Dépense Non Obligatoire: 🚬 Cigarette","Dépense Non Obligatoire","🚬 Cigarette","",80.00$,0.00$,"Reconciled"
"WealthSimple Cash","","09/05/2024","Money transfer sent to /Papa /","Dépense Obligatoire: 🍲 Epicerie","Dépense Obligatoire","🍲 Epicerie","",61.41$,0.00$,"Reconciled"
"Principal","","09/05/2024","Transfer : Classique Visa Desjardins","","","","",25.00$,0.00$,"Reconciled"
"Classique Visa Desjardins","","09/05/2024","Transfer : Principal","","","","",0.00$,25.00$,"Reconciled"
"Principal","","09/05/2024","Interac e-Transfer from /Pierre-Luc Dug/","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,25.00$,"Reconciled"
"WealthSimple Crypto","","09/05/2024","Transfer : WealthSimple Cash","","","","",0.00$,114.38$,"Reconciled"
"WealthSimple Cash","","09/05/2024","Reçu de Katherine","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,147.41$,"Reconciled"
"Principal","","08/05/2024","Transfer : Classique Visa Desjardins","","","","",37.08$,0.00$,"Reconciled"
"WealthSimple Cash","","08/05/2024","Spotify","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",17.24$,0.00$,"Reconciled"
"Classique Visa Desjardins","","08/05/2024","FXHYPEZTRAD 4029357733 ON","Dépense Irrégulière: 📤 Dépense Non Catégorisé","Dépense Irrégulière","📤 Dépense Non Catégorisé","",14.31$,0.00$,"Reconciled"
"Classique Visa Desjardins","","08/05/2024","SERVICES INTERNET NSCA","Dépense Irrégulière: 📤 Dépense Non Catégorisé","Dépense Irrégulière","📤 Dépense Non Catégorisé","",4.59$,0.00$,"Reconciled"
"Classique Visa Desjardins","","08/05/2024","Transfer : Principal","","","","",0.00$,37.08$,"Reconciled"
"WealthSimple Cash","","08/05/2024","Paye Arbec","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,636.40$,"Reconciled"
"WealthSimple CELI","","07/05/2024","Transfer : WealthSimple Cash","","","","",115.65$,0.00$,"Reconciled"
"WealthSimple Cash","","07/05/2024","Depanneur Pointe","Dépense Non Obligatoire: 🏪 Dépanneur","Dépense Non Obligatoire","🏪 Dépanneur","",31.48$,0.00$,"Reconciled"
"WealthSimple Cash","","07/05/2024","Amazon Prime","Abonnement: Amazon Prime","Abonnement","Amazon Prime","",11.49$,0.00$,"Reconciled"
"Classique Visa Desjardins","","07/05/2024","FXHYPEZTRAD 4029357733 ONCA","Dépense Irrégulière: 📤 Dépense Non Catégorisé","Dépense Irrégulière","📤 Dépense Non Catégorisé","",7.16$,0.00$,"Reconciled"
"WealthSimple Cash","","07/05/2024","Transfer : WealthSimple CELI","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,115.65$,"Reconciled"
"Classique Visa Desjardins","","06/05/2024","NAVIGRAPH 35314369001 SE","Abonnement: Navigraph","Abonnement","Navigraph","",13.90$,0.00$,"Reconciled"
"WealthSimple Cash","","06/05/2024","Transfer : WealthSimple Crypto","Dépense Irrégulière: 💰 Placement","Dépense Irrégulière","💰 Placement","",10.80$,0.00$,"Reconciled"
"WealthSimple CELI","","06/05/2024","Transfer : WealthSimple Cash","","","","",3.29$,0.00$,"Reconciled"
"WealthSimple Cash","","06/05/2024","Transfer : WealthSimple CELI","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,3.29$,"Reconciled"
"WealthSimple Crypto","","06/05/2024","Transfer : WealthSimple Cash","","","","",0.00$,10.80$,"Reconciled"
"WealthSimple Cash","","05/05/2024","Transfer : WealthSimple Crypto","Dépense Irrégulière: 💰 Placement","Dépense Irrégulière","💰 Placement","",75.21$,0.00$,"Reconciled"
"WealthSimple Cash","","05/05/2024","Steam","Dépense Irrégulière: 📤 Dépense Non Catégorisé","Dépense Irrégulière","📤 Dépense Non Catégorisé","",33.61$,0.00$,"Reconciled"
"WealthSimple Cash","","05/05/2024","Depanneur Pointe","Dépense Non Obligatoire: 🏪 Dépanneur","Dépense Non Obligatoire","🏪 Dépanneur","",28.10$,0.00$,"Reconciled"
"WealthSimple Crypto","","05/05/2024","Transfer : WealthSimple Cash","","","","",0.00$,75.21$,"Reconciled"
"WealthSimple Cash","","04/05/2024","Transfer : Principal","","","","",70.00$,0.00$,"Reconciled"
"WealthSimple Cash","","04/05/2024","Transfer : WealthSimple Crypto","Dépense Irrégulière: 💰 Placement","Dépense Irrégulière","💰 Placement","",69.93$,0.00$,"Reconciled"
"WealthSimple Cash","","04/05/2024","Money transfer received from /KATHERINE RIOUX /Essence","Dépense Irrégulière:  ❤️ Katherine","Dépense Irrégulière"," ❤️ Katherine","",40.00$,0.00$,"Reconciled"
"WealthSimple Cash","","04/05/2024","Depanneur Pentecote","Dépense Non Obligatoire: 🏪 Dépanneur","Dépense Non Obligatoire","🏪 Dépanneur","",5.26$,0.00$,"Reconciled"
"WealthSimple Crypto","","04/05/2024","Transfer : WealthSimple Cash","","","","",0.00$,69.93$,"Reconciled"
